,掛牌日期,幣別,現金買入,現金賣出,即期買入,即期賣出
98,2019/12/05,美金 (USD),30.07,30.74,30.42,30.52
99,2019/12/04,美金 (USD),30.1,30.77,30.45,30.55
100,2019/12/03,美金 (USD),30.095,30.765,30.445,30.545
101,2019/12/02,美金 (USD),30.095,30.765,30.445,30.545
102,2019/11/29,美金 (USD),30.1,30.77,30.45,30.55
103,2019/11/28,美金 (USD),30.09,30.76,30.44,30.54
104,2019/11/27,美金 (USD),30.1,30.77,30.45,30.55
105,2019/11/26,美金 (USD),30.11,30.78,30.46,30.56
106,2019/11/25,美金 (USD),30.1,30.77,30.45,30.55
107,2019/11/22,美金 (USD),30.11,30.78,30.46,30.56
108,2019/11/21,美金 (USD),30.115,30.785,30.465,30.565
109,2019/11/20,美金 (USD),30.08,30.75,30.43,30.53
110,2019/11/19,美金 (USD),30.1,30.77,30.45,30.55
111,2019/11/18,美金 (USD),30.09,30.76,30.44,30.54
112,2019/11/15,美金 (USD),30.115,30.785,30.465,30.565
113,2019/11/14,美金 (USD),30.16,30.83,30.51,30.61
114,2019/11/13,美金 (USD),30.1,30.77,30.45,30.55
115,2019/11/12,美金 (USD),30.015,30.685,30.365,30.465
116,2019/11/11,美金 (USD),30.015,30.685,30.365,30.465
117,2019/11/08,美金 (USD),29.995,30.665,30.345,30.445
118,2019/11/07,美金 (USD),29.975,30.645,30.325,30.425
119,2019/11/06,美金 (USD),29.995,30.665,30.345,30.445
120,2019/11/05,美金 (USD),29.945,30.615,30.295,30.395
