Date,Open,High,Low,Close,Adj Close,Volume
2002-08-27,162.539993,163.212006,155.824005,160.524994,137.660324,114109632
2002-08-28,156.494995,158.509995,154.479996,157.839005,135.356918,47409821
2002-08-29,157.167007,159.182007,153.136993,157.167007,134.780655,57769470
2002-08-30,157.167007,159.854004,153.136993,159.854004,137.084930,153606154
2002-09-02,159.182007,159.182007,151.121994,155.824005,133.628937,53897089
2002-09-03,157.167007,157.167007,145.076996,145.076996,124.412704,46006271
2002-09-04,135.001999,135.001999,135.001999,135.001999,115.772743,6997948
2002-09-05,125.598999,132.988007,125.598999,127.613998,109.437073,261996770
2002-09-06,null,null,null,null,null,null
2002-09-09,127.613998,127.613998,120.898003,122.913002,105.405663,64021051
2002-09-10,123.584000,128.957993,123.584000,128.957993,110.589638,68437312
2002-09-11,128.957993,128.957993,120.898003,124.928001,107.133659,52321576
2002-09-12,120.898003,124.928001,120.898003,123.584000,105.981094,25156253
2002-09-13,123.584000,131.643997,122.913002,131.643997,112.893059,62829961
2002-09-16,132.315994,132.988007,124.255997,125.598999,107.709084,43788463
2002-09-17,127.613998,129.628998,125.598999,129.628998,111.165070,32010525
2002-09-18,127.613998,128.285995,126.271004,126.271004,108.285378,19801860
2002-09-19,127.613998,128.957993,124.928001,128.285995,110.013344,16526364
2002-09-20,124.255997,126.271004,124.255997,126.271004,108.285378,7474085
2002-09-23,126.271004,126.271004,117.539001,117.539001,100.797134,48418823
2002-09-24,114.181000,115.524002,109.480003,112.837997,96.765724,47606351
2002-09-25,107.464996,112.166000,107.464996,108.807999,93.309746,32159412
2002-09-26,113.510002,114.852997,112.837997,113.510002,97.342003,22891248
2002-09-27,112.837997,114.852997,112.166000,113.510002,97.342003,9738197
2002-09-30,108.807999,112.837997,108.807999,112.837997,96.765724,6899832
2002-10-01,110.822998,114.181000,110.151001,112.837997,96.765724,14382403
2002-10-02,114.181000,115.524002,110.151001,111.495003,95.614021,25206428
2002-10-03,108.807999,110.151001,107.464996,109.480003,93.886024,12598449
2002-10-04,110.151001,110.151001,108.136002,108.136002,92.733467,10004406
2002-10-07,108.807999,108.807999,103.434998,103.434998,88.702049,8785028
2002-10-08,103.434998,106.121002,100.748001,105.449997,90.430046,21930039
2002-10-09,105.449997,108.807999,104.106003,107.464996,92.158028,12656068
2002-10-10,null,null,null,null,null,null
2002-10-11,112.837997,112.837997,106.121002,106.792999,91.581757,16973172
2002-10-14,107.464996,109.480003,107.464996,108.807999,93.309746,10437367
2002-10-15,110.151001,116.195999,110.151001,116.195999,99.645416,33502960
2002-10-16,120.898003,123.584000,118.210999,120.898003,103.677681,55230960
2002-10-17,118.210999,120.898003,117.539001,120.898003,103.677681,23006486
2002-10-18,122.913002,126.271004,122.240997,124.928001,107.133659,61044816
2002-10-21,123.584000,132.988007,122.240997,132.988007,114.045639,123960685
2002-10-22,134.330994,137.016998,124.928001,132.988007,114.045639,78790558
2002-10-23,135.001999,137.688995,130.973007,137.016998,117.500725,124470769
2002-10-24,137.016998,139.703995,135.001999,136.345993,116.925316,121342373
2002-10-25,136.345993,136.345993,129.628998,134.330994,115.197319,39454982
2002-10-28,135.673996,139.031998,135.001999,135.001999,115.772743,41689764
2002-10-29,135.673996,135.673996,131.643997,132.988007,114.045639,13758719
2002-10-30,133.658997,135.001999,132.315994,134.330994,115.197319,19653123
2002-10-31,135.673996,137.688995,134.330994,134.330994,115.197319,30343894
2002-11-01,135.001999,137.688995,135.001999,136.345993,116.925316,69411177
2002-11-04,139.703995,145.748993,136.345993,145.748993,124.988998,251174384
2002-11-05,147.091995,152.464996,147.091995,150.451004,129.021240,161175526
2002-11-06,150.451004,155.824005,147.091995,153.809006,131.900940,211046287
2002-11-07,153.809006,156.494995,151.794006,153.136993,131.324646,136533377
2002-11-08,151.794006,157.839005,151.121994,157.167007,134.780655,161624865
2002-11-11,157.839005,157.839005,152.464996,155.824005,133.628937,106319610
2002-11-12,154.479996,157.167007,153.136993,155.824005,133.628937,94022208
2002-11-13,155.824005,157.167007,153.136993,153.136993,131.324646,59891246
2002-11-14,153.809006,161.197006,153.136993,157.167007,134.780655,376845920
2002-11-15,159.182007,163.212006,156.494995,163.212006,139.964630,304919312
2002-11-18,166.570007,169.257004,163.212006,163.212006,139.964630,578780225
2002-11-19,161.869003,161.869003,151.794006,151.794006,130.172974,226986338
2002-11-20,148.436005,151.121994,141.718994,143.061996,122.684708,153092199
2002-11-21,146.421005,147.091995,137.688995,138.360992,118.653313,92223068
2002-11-22,143.733994,143.733994,138.360992,139.031998,119.228737,83441762
2002-11-25,141.046997,141.718994,139.703995,140.376007,120.381317,29181986
2002-11-26,140.376007,141.046997,137.688995,137.688995,118.077019,37199357
2002-11-27,135.001999,135.673996,131.643997,132.315994,113.469330,53934162
2002-11-28,134.330994,137.688995,132.315994,132.988007,114.045639,43428010
2002-11-29,134.330994,137.688995,130.973007,134.330994,115.197319,33804604
2002-12-02,null,null,null,null,null,null
2002-12-03,141.046997,144.406006,141.046997,144.406006,123.837288,77324030
2002-12-04,143.733994,143.733994,139.703995,139.703995,119.805008,21735891
2002-12-05,139.703995,139.703995,136.345993,138.360992,118.653313,16079855
2002-12-06,134.330994,141.046997,134.330994,139.031998,119.228737,16714854
2002-12-09,140.376007,141.046997,137.688995,137.688995,118.077019,49757905
2002-12-10,136.345993,136.345993,131.643997,133.658997,114.621056,22035152
2002-12-11,135.001999,135.673996,131.643997,133.658997,114.621056,26354489
2002-12-12,135.673996,136.345993,128.957993,130.973007,112.317627,24566366
2002-12-13,128.285995,130.973007,127.613998,128.957993,110.589638,13699016
2002-12-16,126.943001,127.613998,124.928001,127.613998,109.437073,14294710
2002-12-17,127.613998,130.973007,125.598999,126.943001,108.861656,14145674
2002-12-18,126.943001,126.943001,122.240997,122.240997,104.829391,14443447
2002-12-19,119.554001,124.255997,119.554001,124.255997,106.557381,11776896
2002-12-20,123.584000,123.584000,116.867996,121.569000,104.253113,84299495
2002-12-23,117.539001,120.898003,116.195999,116.195999,99.645416,33645147
2002-12-24,116.195999,117.539001,114.852997,116.195999,99.645416,36030452
2002-12-25,116.195999,116.867996,110.822998,115.524002,99.069130,74294792
2002-12-26,115.524002,120.225998,113.510002,119.554001,102.525116,43534612
2002-12-27,117.539001,123.584000,116.867996,118.210999,101.373413,43941369
2002-12-30,117.539001,117.539001,114.852997,116.195999,99.645416,17419830
2002-12-31,116.867996,117.539001,114.181000,116.867996,100.221703,11374903
2003-01-01,null,null,null,null,null,null
2003-01-02,117.539001,118.210999,114.852997,116.867996,100.221703,17717454
2003-01-03,117.539001,119.554001,117.539001,118.210999,101.373413,26203965
2003-01-06,118.210999,124.255997,118.210999,122.240997,104.829391,41092581
2003-01-07,123.584000,126.943001,120.898003,122.240997,104.829391,36389416
2003-01-08,123.584000,124.255997,119.554001,122.913002,105.405663,37956294
2003-01-09,122.913002,123.584000,120.898003,122.913002,105.405663,30253669
2003-01-10,123.584000,126.943001,123.584000,124.255997,106.557381,118662422
2003-01-13,127.613998,130.973007,126.943001,130.973007,112.317627,129433145
2003-01-14,130.973007,130.973007,127.613998,129.628998,111.165070,59532431
2003-01-15,129.628998,130.973007,126.271004,128.285995,110.013344,57645001
2003-01-16,127.613998,129.628998,126.271004,126.271004,108.285378,58214490
2003-01-17,126.271004,127.613998,124.928001,124.928001,107.133659,44592151
2003-01-20,130.973007,130.973007,124.255997,124.255997,106.557381,27544089
2003-01-21,124.255997,127.613998,124.255997,124.928001,107.133659,18759657
2003-01-22,126.271004,126.271004,124.255997,124.255997,106.557381,26650623
2003-01-23,126.943001,128.957993,125.598999,128.285995,110.013344,23077355
2003-01-24,125.598999,127.613998,124.928001,125.598999,107.709084,26203965
2003-01-27,124.928001,126.943001,122.913002,126.943001,108.861656,20707237
2003-01-28,122.913002,126.943001,122.913002,125.598999,107.709084,12208814
2003-01-29,null,null,null,null,null,null
2003-01-30,null,null,null,null,null,null
2003-01-31,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,125.598999,125.598999,120.225998,120.225998,103.101387,16079706
2003-02-07,120.225998,120.225998,118.210999,119.554001,102.525116,14293221
2003-02-10,122.240997,122.240997,117.539001,118.883003,101.949699,7444308
2003-02-11,119.554001,119.554001,117.539001,119.554001,102.525116,9826487
2003-02-12,117.539001,118.883003,115.524002,118.883003,101.949699,29479609
2003-02-13,116.867996,117.539001,114.852997,116.195999,99.645416,28437406
2003-02-14,117.539001,117.539001,113.510002,114.852997,98.493713,19816748
2003-02-17,116.195999,119.554001,116.195999,118.883003,101.949699,65911905
2003-02-18,117.539001,118.210999,115.524002,117.539001,100.797134,14144186
2003-02-19,118.883003,118.883003,115.524002,116.867996,100.221703,5062130
2003-02-20,116.195999,117.539001,114.852997,114.852997,98.493713,13018011
2003-02-21,115.524002,118.883003,115.524002,116.195999,99.645416,9975671
2003-02-24,116.195999,116.195999,114.181000,114.852997,98.493713,4317699
2003-02-25,114.852997,115.524002,112.837997,112.837997,96.765724,6703004
2003-02-26,112.837997,114.181000,111.495003,111.495003,95.614021,9461716
2003-02-27,114.852997,114.852997,109.480003,113.510002,97.342003,9543603
2003-02-28,null,null,null,null,null,null
2003-03-03,113.510002,115.524002,110.822998,115.524002,99.069130,11202791
2003-03-04,114.852997,115.524002,112.166000,114.852997,98.493713,10318705
2003-03-05,112.166000,113.510002,109.480003,112.837997,96.765724,39454982
2003-03-06,112.166000,114.852997,112.166000,113.510002,97.342003,47509575
2003-03-07,110.822998,113.510002,110.822998,112.166000,96.189430,111724327
2003-03-10,112.166000,113.510002,112.166000,112.837997,96.765724,102583312
2003-03-11,114.852997,116.195999,113.510002,113.510002,97.342003,75187662
2003-03-12,114.181000,118.883003,113.510002,115.524002,99.069130,100200389
2003-03-13,115.524002,118.883003,114.852997,116.867996,100.221703,79058553
2003-03-14,119.554001,120.898003,116.867996,116.867996,100.221703,98279757
2003-03-17,116.867996,118.883003,115.524002,115.524002,99.069130,41717903
2003-03-18,116.195999,120.898003,116.195999,118.883003,101.949699,58884478
2003-03-19,116.867996,119.554001,114.181000,117.539001,100.797134,19206315
2003-03-20,117.539001,117.539001,114.181000,116.195999,99.645416,21088981
2003-03-21,116.195999,116.195999,114.181000,114.181000,97.917419,8680063
2003-03-24,114.181000,114.852997,112.166000,112.166000,96.189430,9573529
2003-03-25,110.822998,111.495003,110.151001,110.822998,95.037735,9276055
2003-03-26,115.524002,115.524002,111.495003,112.837997,96.765724,10164012
2003-03-27,112.837997,112.837997,111.495003,111.495003,95.614021,4466585
2003-03-28,112.166000,112.837997,112.166000,112.837997,96.765724,796690
2003-03-31,112.837997,112.837997,108.807999,108.807999,93.309746,8933170
2003-04-01,107.464996,110.151001,107.464996,109.480003,93.886024,12962476
2003-04-02,109.480003,109.480003,104.778000,104.778000,89.853760,24160651
2003-04-03,108.136002,108.136002,104.778000,106.121002,91.005463,29182284
2003-04-04,106.121002,108.136002,105.449997,108.136002,92.733467,17667279
2003-04-07,107.464996,109.480003,107.464996,108.807999,93.309746,14144186
2003-04-08,108.807999,108.807999,107.464996,108.807999,93.309746,22608662
2003-04-09,106.121002,107.464996,106.121002,106.792999,91.581757,5211611
2003-04-10,106.792999,108.807999,106.792999,107.464996,92.158028,25057541
2003-04-11,106.792999,107.464996,104.778000,106.121002,91.005463,19311727
2003-04-14,104.778000,106.121002,103.434998,103.434998,88.702049,16675250
2003-04-15,104.106003,104.106003,102.091003,102.763000,88.125763,15494583
2003-04-16,102.763000,106.121002,102.763000,105.449997,90.430046,34727698
2003-04-17,106.792999,106.792999,104.778000,106.792999,91.581757,19057578
2003-04-18,107.464996,111.495003,107.464996,111.495003,95.614021,42651568
2003-04-21,111.495003,112.837997,108.807999,111.495003,95.614021,28248470
2003-04-22,110.822998,111.495003,108.136002,110.151001,94.461449,17568567
2003-04-23,110.822998,110.822998,108.807999,110.822998,95.037735,8933170
2003-04-24,108.136002,108.807999,103.434998,104.778000,89.853760,21469534
2003-04-25,100.748001,104.106003,100.075996,100.075996,85.821495,30234313
2003-04-28,97.389801,97.389801,93.359901,93.359901,80.062027,17270795
